PangoRecombinant,NodeID,BranchLength
XA,node_249010,2
XAA,node_2251195,2
XAB,node_2251371,1
XAC,node_917642,1
XAD,node_916903,1
XAE,node_917594,3
XAF,node_2249879,1
XAG,node_2251551,2
XAH,node_917460,1
XAJ,node_1524964,1
XAK,node_1011461,4
XAL,node_2251004,1
XAM,node_2251431,1
XAN,node_2113736,1
XAP,node_917500,1
XAQ,node_2250951,3
XAR,node_2251799,1
XAS,node_1549038,1
XAT,node_917006,2
XAU,node_2251696,1
XAV,node_2082357,1
XAW,node_633737,3
XAY,node_911455,12
XAZ,node_1762380,2
XB,node_12372,6
XBA,node_912101,16
XBB,node_1033627,1
XBC,node_908967,1
XBD,node_1377836,2
XBE,node_2064210,1
XBF,node_1430774,1
XBG,node_2065665,1
XBH,node_1441485,2
XBJ,node_1365292,1
XBK,node_1434498,1
XBL,node_1304952,1
XBM,node_1905176,1
XBN,node_1310055,1
XBP,node_1377995,2
XBQ,node_1435110,1
XBR,node_1378040,1
XBS,node_1378110,4
XBT,node_2065986,4
XBU,node_1407709,2
XBV,node_1189850,1
XBW,node_1286727,3
XBY,node_1380872,1
XBZ,node_1649415,2
XC,node_3271745,2
XCA,node_1378081,8
XCB,node_1849159,7
XCC,node_1193532,1
XCD,node_1286798,6
XCE,node_1037771,1
XCF,node_1303012,1
XCG,node_1193486,1
XCH,node_1214379,6
XCJ,node_1318461,4
XCK,node_1286776,4
XCL,node_1214122,1
XCM,node_1190642,4
XCN,node_1441969,12
XCP,node_1205479,1
XCQ,node_1315099,3
XCR,node_1214265,5
XCS,node_1214254,4
XCT,node_1460853,1
XCU,node_911435,39
XCV,node_1150565,3
XCW,node_1315038,1
XCY,node_1182302,1
XCZ,node_1182266,1
XD,node_633755,1
XDA,node_1079632,1
XDB,node_1079535,1
XDC,node_1137590,1
XDD,node_2209463,2
XDE,node_1034445,3
XDF,node_1150650,1
XDG,node_1117678,5
XDH,node_1441952,4
XDJ,node_1041999,2
XDK,node_2209451,3
XE,node_2250109,1
XF,node_880046,4
XG,node_2249710,1
XH,node_2249845,3
XJ,node_2250580,1
XK,node_2250812,1
XL,node_2249678,1
XM,node_2250655,1
XN,node_2251955,1
XP,node_736394,1
XQ,node_2252083,1
XR,node_2252109,1
XS,node_633710,4
XT,node_917405,2
XU,node_2249698,1
XV,node_2250631,1
XW,node_2251889,1
XY,node_2249982,4
XZ,node_916737,1
